"Data","ret_ibx","ret_rf"
2009-01-05,0.0216036711169779,0.00070374895597592
2009-01-06,0.0171280611258636,0.000702614828183713
2009-01-07,-0.0376267759348106,0.000701976004570953
2009-01-08,0.027681758518492,0.000698863741134451
2009-01-09,-0.00715628381824509,0.000695256680058877
2009-01-12,-0.0506238667221603,0.000694125793794866
2009-01-13,0.00154511411311522,0.000691509946072614
2009-01-14,-0.0395867992476128,0.000690875583004486
2009-01-15,0.026033370968166,0.000687270352833277
2009-01-16,0.00214022346542246,0.000685151629713108
2009-01-19,-0.010475236967559,0.000680059718101914
2009-01-20,-0.0388471315333208,0.00067645462493571
2009-01-21,0.0338754778595802,0.000672849565385545
2009-01-22,-0.0146060641881908,0.000664775242250462
2009-01-23,0.00770958844073571,0.000664646998990846
2009-01-26,0.0085013781406966,0.000665015429852482
2009-01-27,0.00317924238024523,0.000664887214931998
2009-01-28,0.0409410856592847,0.000665255441750145
2009-01-29,-0.0160055886550904,0.000665127255354016
2009-01-30,-0.00598513480913046,0.000664999178845027
2009-02-02,-0.0159709381163709,0.000661894244735264
2009-02-03,0.0271008799780143,0.000660775055909013
2009-02-04,0.01238828361554,0.000658663768608655
2009-02-05,0.0234214697433466,0.000658042111610972
2009-02-06,0.0418942582183113,0.000656924522246134
2009-02-09,-0.0106531949345421,0.000654814739380996
2009-02-10,-0.0181168652726773,0.000653201912819484
2009-02-11,-0.00690300392619246,0.000651093174255129
2009-02-12,-0.00929701779543342,0.000649978043452103
2009-02-13,0.0280907261222547,0.000648863409602983
2009-02-16,0.00520821729772082,0.000646756194118692
2009-02-17,-0.0477607095721605,0.000644152763227927
2009-02-18,-0.00305954130155515,0.000643040040063125
2009-02-19,0.00364204894624593,0.000640934298929163
2009-02-20,-0.0285031440877643,0.000640319492962874
2009-02-25,-0.00695464112615142,0.000637717882060827
2009-02-26,-4.82238457582835e-05,0.000633128267782583
2009-02-27,3.42250248715208e-05,0.00063002986862439
2009-03-02,-0.0513894495637626,0.00062742907392739
2009-03-03,0.00309613769941228,0.000626321281979858
2009-03-04,0.0539546821867643,0.000623721309128995
2009-03-05,-0.0225700072748933,0.000619628181071356
2009-03-06,-0.00527349406672399,0.000614039809906074
2009-03-09,-0.0102933985525108,0.000605456162381955
2009-03-10,0.0544935782996095,0.000600360384955713
2009-03-11,0.00098752145871901,0.000590263897832885
2009-03-12,0.0114804469700325,0.00058716325696266
2009-03-13,-0.00324537822358005,0.000586564456832923
2009-03-16,-0.00995717815070815,0.000586466144752168
2009-03-17,0.0230170126077967,0.000584867427238323
2009-03-18,0.0150684777853801,0.000582768807793721
2009-03-19,0.00831414288303185,0.00058417239426157
2009-03-20,-0.00891335922591128,0.000584575077021292
2009-03-23,0.0605256639725418,0.000584977501457831
2009-03-24,-0.0224907325475434,0.000586379072624522
2009-03-25,0.00622564053699091,0.000585281912338716
2009-03-26,0.0174080376753666,0.000584185162859853
2009-03-27,-0.0158682308225016,0.000584587546683154
2009-03-30,-0.0307836400286838,0.00058399085238931
2009-03-31,0.00547112639081154,0.000582894949331297
2009-04-01,0.022520101801811,0.000582298941652901
2009-04-02,0.0394293590666206,0.000583700471053901
2009-04-03,0.0147994900111279,0.00058310448309088
2009-04-06,-0.00464745860364054,0.000577515029760433
2009-04-07,-0.0099191785627546,0.000573922634909024
2009-04-08,0.00336949952200116,0.000570329787094794
2009-04-09,0.0342432914414861,0.000567737027426245
2009-04-13,0.00653732962298081,0.00056314264860021
2009-04-14,-0.0128651407591614,0.000559548495598836
2009-04-15,-0.00544151691040267,0.00055545281185919
2009-04-16,0.0157440760372293,0.00055586640339497
2009-04-17,-0.00570702996975744,0.000554777158183658
2009-04-20,-0.0286364321209645,0.000551684088555767
2009-04-22,0.00422381047851794,0.000548590866866349
2009-04-23,0.0227150708067026,0.000544995952115841
2009-04-24,0.0149138762228733,0.000544410519256224
2009-04-27,-0.0221090115145688,0.000540313702670064
2009-04-28,0.00292511907799612,0.000535713752771227
2009-04-29,0.0325628205960653,0.000533624070474913
2009-04-30,0.00269627737905403,0.000533041519175277
2009-05-04,0.0625464356313358,0.000532459208817344
2009-05-05,0.00439355932509633,0.000531374963774942
2009-05-06,0.0114350474911254,0.00053029102204703
2009-05-07,-0.0297661182747888,0.000528705114250268
2009-05-08,0.0252037527909457,0.000528124158148962
2009-05-11,-0.00876451091287398,0.000526538877734162
2009-05-12,-0.0129404167197808,0.000525456283867484
2009-05-13,-0.0302528748515897,0.000525378614112817
2009-05-14,0.012781573728517,0.000523794216032689
2009-05-15,-0.00861405937548065,0.000523717094973435
2009-05-18,0.0480267273955805,0.000521128573357482
2009-05-19,-0.00154376631222528,0.000520549970335237
2009-05-20,0.00144451127567803,0.000518966736318017
2009-05-21,-0.0195121776478637,0.000519393521393633
2009-05-22,0.00993806141735347,0.000517810877948822
2009-05-25,0.00527193832362724,0.000516228537387482
2009-05-26,0.0196109124909961,0.000514143933622357
2009-05-27,-0.0014105591943695,0.000512562214398878
2009-05-28,0.0219575798595343,0.00051248861241605
2009-05-29,1.26807511383871e-05,0.000510907411839529
2009-06-01,0.0244228169931439,0.000507818263052479
2009-06-02,-0.0121290244172785,0.000503219514964257
2009-06-03,-0.0342748113341876,0.000500632676731557
2009-06-04,0.0233968241985595,0.000498045811076427
2009-06-05,-0.00260251734195152,0.000497976470334488
2009-06-08,0.00419072447589937,0.000496900419783585
2009-06-09,-0.00852598994234688,0.000497838061255905
2009-06-10,0.00544638287056018,0.000494748864583317
2009-06-12,0.00419382562204661,0.000478548284276538
